"","Poll","Date","Sample","MoE","Clinton (D)","Trump (R)","Spread"
"1","RCP Average","10/10 - 10/21","--","--",48,41.9,"Clinton +6.1"
"2","IBD/TIPP TrackingIBD/TIPP Tracking","10/16 - 10/21","791 LV","3.6",42,42,"Tie"
"3","IBD/TIPP TrackingIBD/TIPP Tracking","10/15 - 10/20","779 LV","3.6",43,41,"Clinton +2"
"4","QuinnipiacQuinnipiac","10/17 - 10/18","1007 LV","3.1",50,44,"Clinton +6"
"5","LA Times/USC TrackingLA Times","10/15 - 10/21","3052 LV","4.5",44,44,"Tie"
"6","LA Times/USC TrackingLA Times","10/14 - 10/20","3001 LV","4.5",44,45,"Trump +1"
"7","Economist/YouGovEconomist","10/15 - 10/18","925 RV","3.9",47,43,"Clinton +4"
"8","FOX NewsFOX News","10/15 - 10/17","912 LV","3.0",49,42,"Clinton +7"
"9","BloombergBloomberg","10/14 - 10/17","1006 LV","3.1",50,41,"Clinton +9"
"10","Reuters/IpsosReuters","10/13 - 10/17","1190 LV","3.3",43,39,"Clinton +4"
"11","MonmouthMonmouth","10/14 - 10/16","726 LV","3.6",53,41,"Clinton +12"
"12","CBS NewsCBS News","10/12 - 10/16","1189 LV","3.0",51,40,"Clinton +11"
"13","NBC News/SMNBC News","10/10 - 10/16","24804 LV","1.0",51,43,"Clinton +8"
"14","ABC News/Wash PostABC/WP","10/10 - 10/13","740 LV","4.0",50,46,"Clinton +4"
"15","NBC News/Wall St. JrnlNBC/WSJ","10/10 - 10/13","905 LV","3.3",51,41,"Clinton +10"
"16","LA Times/USC TrackingLA Times","10/9 - 10/15","2946 LV","4.5",44,45,"Trump +1"
"17","FOX NewsFOX News","10/10 - 10/12","917 LV","3.0",49,41,"Clinton +8"
"18","NBC News/Wall St. JrnlNBC/WSJ","10/8 - 10/10","806 LV","3.5",50,40,"Clinton +10"
"19","Reuters/IpsosReuters","10/6 - 10/10","2363 LV","2.2",44,37,"Clinton +7"
"20","NBC News/Wall St. JrnlNBC/WSJ","10/8 - 10/9","447 LV","4.6",52,38,"Clinton +14"
"21","Economist/YouGovEconomist","10/7 - 10/8","971 RV","4.2",48,43,"Clinton +5"
"22","The AtlanticThe Atlantic","10/5 - 10/9","886 LV","3.9",49,38,"Clinton +11"
"23","LA Times/USC TrackingLA Times","10/4 - 10/10","2969 LV","4.5",43,45,"Trump +2"
"24","NBC News/SMNBC News","10/3 - 10/9","23329 LV","1.0",51,44,"Clinton +7"
"25","QuinnipiacQuinnipiac","10/5 - 10/6","1064 LV","3.0",50,44,"Clinton +6"
"26","FOX NewsFOX News","10/3 - 10/6","896 LV","3.0",48,44,"Clinton +4"
"27","Economist/YouGovEconomist","10/1 - 10/3","911 RV","3.9",48,43,"Clinton +5"
"28","Reuters/IpsosReuters","9/29 - 10/3","1239 LV","3.2",44,37,"Clinton +7"
"29","The Atlantic/PRRIThe Atlantic","9/28 - 10/2","609 LV","--",47,41,"Clinton +6"
"30","CBS NewsCBS News","9/28 - 10/2","1217 LV","4.0",49,43,"Clinton +6"
"31","CNN/ORCCNN/ORC","9/28 - 10/2","1213 LV","3.0",51,45,"Clinton +6"
"32","LA Times/USC TrackingLA Times","9/27 - 10/3","2275 LV","4.5",43,47,"Trump +4"
"33","FOX NewsFOX News","9/27 - 9/29","911 LV","3.0",49,44,"Clinton +5"
"34","NBC News/SMNBC News","9/26 - 10/2","26925 LV","1.0",50,44,"Clinton +6"
"35","PPP (D)PPP (D)","9/27 - 9/28","933 LV","3.2",49,45,"Clinton +4"
"36","GravisGravis","9/27 - 9/27","3386 RV","1.7",50,50,"Tie"
"37","Reuters/IpsosReuters","9/22 - 9/26","1041 LV","3.5",44,38,"Clinton +6"
"38","QuinnipiacQuinnipiac","9/22 - 9/25","1115 LV","2.9",47,46,"Clinton +1"
"39","BloombergBloomberg","9/21 - 9/24","1002 LV","3.1",46,46,"Tie"
"40","MonmouthMonmouth","9/22 - 9/25","729 LV","3.6",49,46,"Clinton +3"
"41","Economist/YouGovEconomist","9/22 - 9/24","948 RV","3.8",48,44,"Clinton +4"
"42","LA Times/USC TrackingLA Times","9/20 - 9/26","2726 LV","4.5",43,46,"Trump +3"
"43","NBC News/SMNBC News","9/19 - 9/25","13598 LV","1.1",51,44,"Clinton +7"
"44","ABC News/Wash PostABC/WP","9/19 - 9/22","651 LV","4.5",49,47,"Clinton +2"
"45","Economist/YouGovEconomist","9/18 - 9/19","936 RV","4.0",45,44,"Clinton +1"
"46","Reuters/IpsosReuters","9/15 - 9/19","1111 LV","3.4",39,39,"Tie"
"47","McClatchy/MaristMcClatchy","9/15 - 9/20","758 LV","3.6",48,41,"Clinton +7"
"48","NBC News/Wall St. JrnlNBC/WSJ","9/16 - 9/19","922 LV","3.2",48,41,"Clinton +7"
"49","Associated Press-GfKAP-GfK","9/15 - 9/16","1251 LV","--",50,44,"Clinton +6"
"50","LA Times/USC TrackingLA Times","9/13 - 9/19","2524 LV","4.5",42,47,"Trump +5"
"51","NBC News/SMNBC News","9/12 - 9/18","13320 LV","1.2",50,45,"Clinton +5"
"52","FOX NewsFOX News","9/11 - 9/14","867 LV","3.0",45,46,"Trump +1"
"53","CBS News/NY TimesCBS/NYT","9/9 - 9/13","1433 LV","3.0",46,44,"Clinton +2"
"54","Economist/YouGovEconomist","9/10 - 9/13","926 RV","4.0",46,44,"Clinton +2"
"55","QuinnipiacQuinnipiac","9/8 - 9/13","960 LV","3.2",48,43,"Clinton +5"
"56","Reuters/IpsosReuters","9/8 - 9/12","1127 LV","3.3",40,39,"Clinton +1"
"57","LA Times/USC TrackingLA Times","9/5 - 9/11","2596 LV","4.5",44,44,"Tie"
"58","NBC News/SMNBC News","9/5 - 9/11","16220 RV","1.1",48,44,"Clinton +4"
"59","ABC News/Wash PostABC/WP","9/5 - 9/8","642 LV","4.5",51,43,"Clinton +8"
"60","Economist/YouGovEconomist","9/4 - 9/6","955 RV","4.7",44,42,"Clinton +2"
"61","Reuters/IpsosReuters","9/1 - 9/5","1084 LV","3.5",40,38,"Clinton +2"
"62","CNN/ORCCNN/ORC","9/1 - 9/4","786 LV","3.5",48,49,"Trump +1"
"63","NBC News/SMNBC News","8/29 - 9/4","32226 RV","1.0",48,42,"Clinton +6"
"64","IBD/TIPPIBD/TIPP","8/26 - 9/1","861 LV","3.4",44,43,"Clinton +1"
"65","FOX NewsFOX News","8/28 - 8/30","1011 RV","3.0",48,42,"Clinton +6"
"66","PPP (D)PPP (D)","8/26 - 8/28","881 LV","3.3",48,43,"Clinton +5"
"67","Economist/YouGovEconomist","8/27 - 8/29","1119 RV","4.0",47,42,"Clinton +5"
"68","Reuters/IpsosReuters","8/25 - 8/29","1404 LV","3.0",40,39,"Clinton +1"
"69","MonmouthMonmouth","8/25 - 8/28","689 LV","3.7",49,42,"Clinton +7"
"70","USA Today/SuffolkUSA Today","8/24 - 8/29","1000 LV","3.0",48,41,"Clinton +7"
"71","NBC News/SMNBC News","8/22 - 8/28","24104 RV","1.0",48,42,"Clinton +6"
"72","LA Times/USCLA Times/USC","8/22 - 8/28","2460 LV","4.5",44,44,"Tie"
"73","Reuters/IpsosReuters","8/20 - 8/24","1049 LV","3.5",42,35,"Clinton +7"
"74","Economist/YouGovEconomist","8/19 - 8/23","906 RV","4.1",47,44,"Clinton +3"
"75","QuinnipiacQuinnipiac","8/18 - 8/24","1498 LV","2.5",51,41,"Clinton +10"
"76","NBC News/SMNBC News","8/15 - 8/21","17459 RV","1.1",50,42,"Clinton +8"
"77","Reuters/IpsosReuters","8/13 - 8/17","1049 LV","3.5",41,36,"Clinton +5"
"78","Economist/YouGovEconomist","8/14 - 8/16","911 RV","4.2",47,41,"Clinton +6"
"79","GravisGravis","8/15 - 8/15","1143 RV","2.9",54,46,"Clinton +8"
"80","NBC News/SMNBC News","8/8 - 8/14","15179 RV","1.2",50,41,"Clinton +9"
"81","LA Times/USCLA Times/USC","8/6 - 8/12","2325 LV","--",46,42,"Clinton +4"
"82","Reuters/IpsosReuters","8/6 - 8/10","974 LV","3.5",42,36,"Clinton +6"
"83","Economist/YouGovEconomist","8/6 - 8/9","911 RV","4.2",48,41,"Clinton +7"
"84","BloombergBloomberg","8/5 - 8/8","749 LV","3.6",50,44,"Clinton +6"
"85","ABC News/Wash PostABC/WP","8/1 - 8/4","815 RV","4.0",50,42,"Clinton +8"
"86","LA Times/USCLA Times/USC","7/30 - 8/5","2175 LV","--",45,44,"Clinton +1"
"87","IBD/TIPPIBD/TIPP","7/29 - 8/4","851 RV","3.4",46,39,"Clinton +7"
"88","McClatchy/MaristMcClatchy","8/1 - 8/3","983 RV","3.1",48,33,"Clinton +15"
"89","NBC News/Wall St. JrnlNBC/WSJ","7/31 - 8/3","800 RV","3.5",47,38,"Clinton +9"
"90","NBC News/SMNBC News","8/1 - 8/7","11480 RV","1.2",51,41,"Clinton +10"
"91","FOX NewsFOX News","7/31 - 8/2","1022 RV","3.0",49,39,"Clinton +10"
"92","Economist/YouGovEconomist","7/30 - 8/1","933 RV","4.1",46,43,"Clinton +3"
"93","CBS NewsCBS News","7/29 - 7/31","1131 RV","3.0",47,41,"Clinton +6"
"94","Reuters/IpsosReuters","7/30 - 8/3","1072 LV","3.5",43,39,"Clinton +4"
"95","CNN/ORCCNN/ORC","7/29 - 7/31","894 RV","3.5",52,43,"Clinton +9"
"96","NBC News/SMNBC News","7/25 - 7/31","12742 RV","1.2",50,42,"Clinton +8"
"97","PPP (D)PPP (D)","7/29 - 7/30","1276 LV","2.7",50,45,"Clinton +5"
"98","Reuters/IpsosReuters","7/25 - 7/29","1050 LV","3.5",40,35,"Clinton +5"
"99","Rasmussen ReportsRasmussen","7/26 - 7/27","1000 LV","3.0",43,42,"Clinton +1"
"100","Economist/YouGovEconomist","7/23 - 7/24","1057 RV","4.5",47,42,"Clinton +5"
"101","CNN/ORCCNN/ORC","7/22 - 7/24","882 RV","3.5",45,48,"Trump +3"
"102","LA Times/USCLA Times/USC","7/20 - 7/26","2150 LV","--",40,47,"Trump +7"
"103","CBS NewsCBS News","7/22 - 7/24","1118 RV","4.0",43,44,"Trump +1"
"104","NBC News/SMNBC News","7/18 - 7/24","12931 RV","1.2",46,45,"Clinton +1"
"105","GravisGravis","7/21 - 7/22","3462 RV","1.7",49,51,"Trump +2"
"106","Rasmussen ReportsRasmussen","7/18 - 7/19","1000 LV","3.0",42,43,"Trump +1"
"107","Reuters/IpsosReuters","7/16 - 7/20","1232 RV","3.2",40,36,"Clinton +4"
"108","Economist/YouGovEconomist","7/15 - 7/17","925 RV","4.5",45,41,"Clinton +4"
"109","NBC News/SMNBC News","7/11 - 7/17","9436 RV","1.4",46,45,"Clinton +1"
"110","CNN/ORCCNN/ORC","7/13 - 7/16","872 RV","3.5",49,42,"Clinton +7"
"111","ABC News/Wash PostABC/WP","7/11 - 7/14","816 RV","4.0",47,43,"Clinton +4"
"112","Rasmussen ReportsRasmussen","7/12 - 7/13","1000 LV","3.0",37,44,"Trump +7"
"113","NBC News/Wall St. JrnlNBC/WSJ","7/9 - 7/13","1000 RV","3.1",46,41,"Clinton +5"
"114","CBS News/NY TimesCBS/NYT","7/8 - 7/12","1358 RV","3.0",40,40,"Tie"
"115","Economist/YouGovEconomist","7/9 - 7/11","932 RV","4.5",45,43,"Clinton +2"
"116","McClatchy/MaristMcClatchy","7/5 - 7/9","1053 RV","3.0",42,39,"Clinton +3"
"117","Rasmussen ReportsRasmussen","7/5 - 7/5","1000 LV","3.0",40,42,"Trump +2"
"118","Reuters/IpsosReuters","7/2 - 7/6","1345 RV","2.8",44,33,"Clinton +11"
"119","Economist/YouGovEconomist","7/2 - 7/4","1004 RV","4.0",47,42,"Clinton +5"
"120","Rasmussen ReportsRasmussen","6/28 - 6/29","1000 LV","3.0",39,43,"Trump +4"
"121","USA Today/SuffolkUSA Today","6/26 - 6/29","1000 LV","3.0",46,40,"Clinton +6"
"122","PPP (D)PPP (D)","6/27 - 6/28","947 RV","3.2",48,44,"Clinton +4"
"123","Gravis*Gravis*","6/27 - 6/28","2162 RV","2.1",50,48,"Clinton +2"
"124","FOX NewsFOX News","6/26 - 6/28","1017 RV","3.0",44,38,"Clinton +6"
"125","Reuters/IpsosReuters","6/25 - 6/29","1247 RV","2.8",42,32,"Clinton +10"
"126","IBD/TIPPIBD/TIPP","6/24 - 6/29","837 RV","3.5",44,40,"Clinton +4"
"127","Economist/YouGovEconomist","6/24 - 6/27","1069 RV","3.9",42,38,"Clinton +4"
"128","QuinnipiacQuinnipiac","6/21 - 6/27","1610 RV","2.4",42,40,"Clinton +2"
"129","Pew ResearchPew","6/15 - 6/26","1655 RV","2.7",51,42,"Clinton +9"
"130","ABC News/Wash PostABC/WP","6/20 - 6/23","836 RV","4.0",51,39,"Clinton +12"
"131","NBC News/Wall St. JrnlNBC/WSJ","6/19 - 6/23","1000 RV","3.1",46,41,"Clinton +5"
"132","Rasmussen ReportsRasmussen","6/20 - 6/21","1000 LV","3.0",44,39,"Clinton +5"
"133","Reuters/IpsosReuters","6/18 - 6/22","1339 RV","2.8",44,34,"Clinton +10"
"134","Economist/YouGovEconomist","6/18 - 6/20","1011 RV","4.1",43,39,"Clinton +4"
"135","CNN/ORCCNN/ORC","6/16 - 6/19","891 RV","3.5",47,42,"Clinton +5"
"136","MonmouthMonmouth","6/15 - 6/19","721 LV","3.7",49,41,"Clinton +8"
"137","Gravis*Gravis*","6/16 - 6/16","2197 RV","2.1",51,47,"Clinton +4"
"138","Rasmussen ReportsRasmussen","6/14 - 6/15","1000 LV","3.0",44,39,"Clinton +5"
"139","Reuters/IpsosReuters","6/11 - 6/15","1323 RV","2.8",41,32,"Clinton +9"
"140","CNBCCNBC","6/11 - 6/13","801 RV","3.5",40,35,"Clinton +5"
"141","Bloomberg*Bloomberg*","6/10 - 6/13","750 LV","3.6",49,37,"Clinton +12"
"142","CBS NewsCBS News","6/9 - 6/13","1048 RV","4.0",43,37,"Clinton +6"
"143","FOX NewsFOX News","6/5 - 6/8","1004 RV","3.0",42,39,"Clinton +3"
"144","Rasmussen ReportsRasmussen","6/6 - 6/7","1000 LV","3.0",42,38,"Clinton +4"
"145","Reuters/IpsosReuters","6/4 - 6/8","1440 RV","2.9",42,34,"Clinton +8"
"146","Economist/YouGovEconomist","6/2 - 6/5","1636 RV","3.6",44,41,"Clinton +3"
"147","IBD/TIPPIBD/TIPP","5/31 - 6/5","850 RV","3.3",45,40,"Clinton +5"
"148","Rasmussen ReportsRasmussen","5/31 - 6/1","1000 LV","3.0",39,38,"Clinton +1"
"149","QuinnipiacQuinnipiac","5/24 - 5/30","1561 RV","2.5",45,41,"Clinton +4"
"150","Rasmussen ReportsRasmussen","5/23 - 5/24","1000 LV","3.0",40,39,"Clinton +1"
"151","ABC News/Wash PostABC/WP","5/16 - 5/19","829 RV","3.5",44,46,"Trump +2"
"152","LA Times/USCLA Times/USC","8/14 - 8/20","2385 LV","--",43,45,"Trump +2"
"153","NBC News/Wall St. JrnlNBC/WSJ","5/15 - 5/19","1000 RV","3.1",46,43,"Clinton +3"
"154","Rasmussen ReportsRasmussen","5/17 - 5/18","1000 LV","3.0",37,42,"Trump +5"
"155","FOX NewsFOX News","5/14 - 5/17","1021 RV","3.0",42,45,"Trump +3"
"156","CBS News/NY TimesCBS/NYT","5/13 - 5/17","1109 RV","3.0",47,41,"Clinton +6"
"157","Gravis*Gravis*","5/10 - 5/10","1574 RV","2.5",50,48,"Clinton +2"
"158","PPP (D)PPP (D)","5/6 - 5/9","1222 RV","3.2",47,41,"Clinton +6"
"159","CNN/ORCCNN/ORC","4/28 - 5/1","890 RV","3.5",54,41,"Clinton +13"
"160","Rasmussen ReportsRasmussen","4/27 - 4/28","1000 LV","3.0",39,41,"Trump +2"
"161","IBD/TIPPIBD/TIPP","4/22 - 4/28","814 RV","3.5",47,40,"Clinton +7"
"162","Rasmussen ReportsRasmussen","4/25 - 4/26","1000 LV","3.0",38,38,"Tie"
"163","USA Today/SuffolkUSA Today","4/20 - 4/24","1000 LV","3.0",50,39,"Clinton +11"
"164","GWU/BattlegroundGWU/Battleground","4/17 - 4/20","1000 LV","3.1",46,43,"Clinton +3"
"165","FOX NewsFOX News","4/11 - 4/13","1021 RV","3.0",48,41,"Clinton +7"
"166","NBC News/Wall St. JrnlNBC/WSJ","4/10 - 4/14","1000 RV","3.1",50,39,"Clinton +11"
"167","CBS NewsCBS News","4/8 - 4/12","1098 RV","3.0",50,40,"Clinton +10"
"168","McClatchy/MaristMcClatchy","3/29 - 3/31","1066 RV","3.0",50,41,"Clinton +9"
"169","IBD/TIPPIBD/TIPP","3/28 - 4/2","819 RV","3.5",47,35,"Clinton +12"
"170","PPP (D)PPP (D)","3/24 - 3/26","1083 RV","3.0",48,41,"Clinton +7"
"171","FOX NewsFOX News","3/20 - 3/22","1016 RV","3.0",49,38,"Clinton +11"
"172","BloombergBloomberg","3/19 - 3/22","815 LV","3.4",54,36,"Clinton +18"
"173","QuinnipiacQuinnipiac","3/16 - 3/21","1451 RV","2.6",46,40,"Clinton +6"
"174","CBS News/NY TimesCBS/NYT","3/17 - 3/20","1058 RV","4.0",50,40,"Clinton +10"
"175","CNN/ORCCNN/ORC","3/17 - 3/20","925 RV","3.0",53,41,"Clinton +12"
"176","MonmouthMonmouth","3/17 - 3/20","848 RV","3.4",48,38,"Clinton +10"
"177","ABC News/Wash PostABC/WP","3/3 - 3/6","864 RV","4.0",50,41,"Clinton +9"
"178","NBC News/Wall St. JrnlNBC/WSJ","3/3 - 3/6","1200 RV","2.8",51,38,"Clinton +13"
"179","Rasmussen ReportsRasmussen","2/29 - 3/1","1000 LV","3.0",41,36,"Clinton +5"
"180","CNN/ORCCNN/ORC","2/24 - 2/27","920 RV","3.0",52,44,"Clinton +8"
"181","FOX NewsFOX News","2/15 - 2/17","1031 RV","3.0",47,42,"Clinton +5"
"182","USA Today/SuffolkUSA Today","2/11 - 2/15","1000 LV","3.0",43,45,"Trump +2"
"183","QuinnipiacQuinnipiac","2/10 - 2/15","1342 RV","2.7",44,43,"Clinton +1"
"184","QuinnipiacQuinnipiac","2/2 - 2/4","1125 RV","2.9",46,41,"Clinton +5"
"185","PPP (D)PPP (D)","2/2 - 2/3","1236 RV","2.8",47,40,"Clinton +7"
"186","NBC News/Wall St. JrnlNBC/WSJ","1/9 - 1/13","800 RV","3.5",51,41,"Clinton +10"
"187","FOX NewsFOX News","1/4 - 1/7","1006 RV","3.0",44,47,"Trump +3"
"188","Rasmussen ReportsRasmussen","12/22 - 12/23","1000 LV","3.0",37,36,"Clinton +1"
"189","CNN/ORCCNN/ORC","12/17 - 12/21","927 RV","3.0",49,47,"Clinton +2"
"190","QuinnipiacQuinnipiac","12/16 - 12/20","1140 RV","2.9",47,40,"Clinton +7"
"191","FOX NewsFOX News","12/16 - 12/17","1013 RV","3.0",49,38,"Clinton +11"
"192","PPP (D)PPP (D)","12/16 - 12/17","1267 RV","2.8",46,43,"Clinton +3"
"193","ABC News/Wash PostABC/WP","12/10 - 12/13","851 RV","4.0",50,44,"Clinton +6"
"194","NBC/WSJNBC/WSJ","12/6 - 12/9","849 RV","3.4",50,40,"Clinton +10"
"195","USA Today/SuffolkUSA Today","12/2 - 12/6","1000 LV","3.0",48,44,"Clinton +4"
"196","CNN/ORCCNN/ORC","11/27 - 12/1","930 RV","3.0",49,46,"Clinton +3"
"197","QuinnipiacQuinnipiac","11/23 - 11/30","1473 RV","2.6",47,41,"Clinton +6"
"198","MSNBC/Telemundo/MaristMSNBC/Telemundo/Marist","11/15 - 12/2","2360 RV","2.0",52,41,"Clinton +11"
"199","FOX NewsFOX News","11/16 - 11/19","1016 RV","4.0",41,46,"Trump +5"
"200","PPP (D)PPP (D)","11/16 - 11/17","1360 RV","2.7",45,44,"Clinton +1"
"201","McClatchy/MaristMcClatchy","10/29 - 11/4","541 RV","4.2",56,41,"Clinton +15"
"202","QuinnipiacQuinnipiac","10/29 - 11/2","1144 RV","2.9",46,43,"Clinton +3"
"203","NBC News/Wall St. JrnlNBC/WSJ","10/25 - 10/29","847 RV","3.4",50,42,"Clinton +8"
"204","CNN/ORCCNN/ORC","10/14 - 10/17","956 RV","3.0",50,45,"Clinton +5"
"205","FOX NewsFOX News","10/10 - 10/12","1004 RV","3.0",40,45,"Trump +5"
"206","PPP (D)PPP (D)","10/1 - 10/4","1338 RV","2.7",44,44,"Tie"
"207","NBC News/Wall St. JrnlNBC/WSJ","9/20 - 9/24","RV","--",49,39,"Clinton +10"
"208","FOX NewsFOX News","9/20 - 9/22","1013 RV","3.0",46,42,"Clinton +4"
"209","QuinnipiacQuinnipiac","9/17 - 9/21","1574 RV","2.5",45,43,"Clinton +2"
"210","ABC News/Wash PostABC/WP","9/7 - 9/10","821 RV","4.0",46,43,"Clinton +3"
"211","CNN/ORCCNN/ORC","9/4 - 9/8","930 RV","3.0",48,48,"Tie"
"212","MSNBC/Telemundo/MaristMSNBC/Telemundo/Marist","8/26 - 9/9","1115 RV","2.9",53,40,"Clinton +13"
"213","SurveyUSASUSA","9/2 - 9/3","900 RV","3.3",40,45,"Trump +5"
"214","PPP (D)PPP (D)","8/28 - 8/30","1254 RV","2.8",46,44,"Clinton +2"
"215","QuinnipiacQuinnipiac","8/20 - 8/25","1563 RV","2.5",45,41,"Clinton +4"
"216","CNN/ORCCNN/ORC","8/13 - 8/16","897 RV","3.5",51,45,"Clinton +6"
"217","FOX NewsFOX News","8/11 - 8/13","1008 RV","3.0",47,42,"Clinton +5"
"218","QuinnipiacQuinnipiac","7/23 - 7/28","1644 RV","2.4",48,36,"Clinton +12"
"219","McClatchy/MaristMcClatchy","7/22 - 7/28","964 RV","3.2",54,38,"Clinton +16"
"220","CNN/Opinion ResearchCNN/ORC","7/22 - 7/25","898 RV","3.5",56,40,"Clinton +16"
"221","PPP (D)PPP (D)","7/20 - 7/21","1087 RV","3.0",50,37,"Clinton +13"
"222","USA Today/SuffolkUSA Today","7/9 - 7/12","1000 LV","3.0",51,34,"Clinton +17"
"223","CNN/Opinion ResearchCNN/ORC","6/26 - 6/28","890 RV","3.5",59,35,"Clinton +24"
"224","FOX NewsFOX News","6/21 - 6/23","1005 RV","3.0",51,34,"Clinton +17"
"225","QuinnipiacQuinnipiac","5/19 - 5/26","1711 RV","2.4",50,32,"Clinton +18"
